,2008,2009,2010,2011,2012,2013,2014,2015,2016,Median Household Income (2015),% of State Median HH Income
Morrow County,7.1,11.2,11.4,10.1,8.1,8,6,5,4.9,"$52,312 ",102.40%
Muskingum County,8.7,12.7,12.6,10.9,9.2,9.1,7.1,6.2,6,"$43,324 ",84.80%
Noble County,8.6,14.5,16,13.3,11,9.7,7.6,7.3,8.6,"$47,714 ",93.40%
Ottawa County,8.8,14.3,12.3,11.1,9.5,9.7,7.6,6.6,6.4,"$58,793 ",115.10%
Paulding County,7.1,13.9,12.6,9.8,7.7,7.6,5.5,4.8,4.6,"$49,796 ",97.50%
Perry County,8.5,13.5,13.4,11.6,9.8,9.6,7.4,6.5,6.2,"$44,738 ",87.60%
Pickaway County,7.1,11.1,10.6,9.2,7.4,7.3,5.7,4.8,4.7,"$58,472 ",114.50%
Pike County,10.2,15.3,14.8,15.2,13,12.2,9.1,7.3,7.4,"$39,851 ",78.00%
Portage County,6.3,10.2,10.3,8.9,7.3,7.7,5.9,4.9,5,"$53,609 ",104.90%
Preble County,6.9,12.3,11,9.6,7.7,7.5,5.7,4.8,4.7,"$51,042 ",99.90%
Putnam County,5.8,10.7,9.3,7.4,5.8,6,4.5,3.9,3.6,"$60,036 ",117.50%
Richland County,7.4,12.9,12.1,10.6,8.7,8.6,6.5,5.6,5.5,"$45,273 ",88.60%
Ross County,7.9,12.2,11.9,10,8.4,8.7,6.4,5.3,5.5,"$45,615 ",89.30%
Sandusky County,7.2,12.2,10.8,9.2,7.5,7.6,5.7,4.8,4.7,"$49,994 ",97.90%
Scioto County,8.3,12.5,13.3,12.5,11.3,11.9,8.8,7.6,7.6,"$37,277 ",73.00%
Seneca County,7.1,12.7,11.9,9.6,8,7.8,5.7,4.8,4.8,"$48,617 ",95.20%
Shelby County,6.2,13.8,12.4,9.7,7.3,6.7,5.1,4.3,4.1,"$59,149 ",115.80%
Stark County,6.8,11.4,11.3,9.3,7.5,7.6,5.8,5.3,5.4,"$48,976 ",95.90%
Summit County,6.1,10,10.6,9.1,7.5,7.6,5.9,5,5,"$51,434 ",100.70%
Trumbull County,7.5,13.9,13.2,10.7,9,9.4,7.3,6.4,6.7,"$42,831 ",83.80%
Tuscarawas County,6.3,11.3,11.2,9.3,7.4,7.3,5.5,5.4,5.7,"$47,588 ",93.20%
Union County,5.2,8.6,8.4,7.2,5.7,5.8,4.5,3.8,3.8,"$76,116 ",149.00%
Van Wert County,8.5,14.9,12.1,9.3,7.5,7,4.9,4.1,4,"$51,264 ",100.30%
Vinton County,9.2,13.2,13.5,11.9,10.8,10.7,8,6.5,7,"$41,675 ",81.60%
Warren County,5.5,8.9,9,7.9,6.5,6.5,5,4.1,4.1,"$81,383 ",159.30%
Washington County,5.5,9.6,11.4,10,8.7,8.6,6.4,6,6.9,"$44,697 ",87.50%
Wayne County,5.7,10.1,9.3,7.7,6.1,6.2,4.6,3.9,3.9,"$52,717 ",103.20%
Williams County,7.7,15.9,13.2,10.8,7.9,7.5,5.4,4.4,4.4,"$49,031 ",96.00%
Wood County,6.8,11.5,9.9,8.3,6.9,7,5.2,4.3,4.1,"$57,390 ",112.30%
Wyandot County,7.9,14.1,11.1,9.2,6.8,6.3,4.4,3.7,3.7,"$51,109 ",100.00%
